orcid_id	term	tf-idf
0000-0003-0924-3247	methylation	0.20176764819609178
0000-0003-0924-3247	variants	0.13903246707321
0000-0003-0924-3247	loci	0.1380661566690011
0000-0003-0924-3247	genetic	0.13650615972901387
0000-0003-0924-3247	dna methylation	0.12750340199256469
0000-0003-0924-3247	dna	0.11830532331268732
0000-0003-0924-3247	snps	0.11684668529434293
0000-0003-0924-3247	associated	0.11433813270356799
0000-0003-0924-3247	association	0.10953125562897706
0000-0003-0924-3247	disease	0.09837724280174749
0000-0003-0924-3247	gene	0.09681124182367211
0000-0003-0924-3247	traits	0.09550970259331595
0000-0003-0924-3247	associations	0.09384021659216667
0000-0003-0924-3247	genes	0.0931818434280978
0000-0003-0924-3247	causal	0.08875069206770182
0000-0003-0924-3247	analysis	0.08541734839570209
0000-0003-0924-3247	identified	0.08463911486444498
0000-0003-0924-3247	risk	0.07712555042618643
0000-0003-0924-3247	studies	0.07366501785736211
0000-0003-0924-3247	blood	0.07334644394261162
0000-0003-0924-3247	levels	0.06902295744771984
0000-0003-0924-3247	using	0.06843157667354878
0000-0003-0924-3247	study	0.06830748916193752
0000-0003-0924-3247	coronary	0.06361745729766614
0000-0003-0924-3247	phenotypes	0.06221199959536746
0000-0003-0924-3247	cardiovascular	0.060349305771754215
0000-0003-0924-3247	heart	0.05893894989490221
0000-0003-0924-3247	data	0.05871029005952099
0000-0003-0924-3247	age	0.05831812101203472
0000-0003-0924-3247	individuals	0.05784994760925654
0000-0003-0924-3247	variant	0.05779574564603075
0000-0003-0924-3247	novel	0.057791063439605786
0000-0003-0924-3247	rare	0.057582817488708866
0000-0003-0924-3247	genomewide	0.054523589314024866
0000-0003-0924-3247	metaanalysis	0.05395634310664759
0000-0003-0924-3247	bmi	0.0539437043493829
0000-0003-0924-3247	epigenetic	0.05382226416325662
0000-0003-0924-3247	cnv	0.052480510692983734
0000-0003-0924-3247	previously	0.050541214263422125
0000-0003-0924-3247	genetic variants	0.05036350527951529
0000-0003-0924-3247	coronary heart	0.050041001689609114
0000-0003-0924-3247	variation	0.04967945869075562
0000-0003-0924-3247	coronary heart disease	0.048106135132361255
0000-0003-0924-3247	genecentric	0.04793108370616646
0000-0003-0924-3247	birth	0.04745543244623403
0000-0003-0924-3247	heart disease	0.04605355957131942
0000-0003-0924-3247	mendelian	0.04601635223673846
0000-0003-0924-3247	cholesterol	0.04540975706060362
0000-0003-0924-3247	maternal	0.04539649447113861
0000-0003-0924-3247	array	0.04472116857588712
0000-0003-0924-3247	number	0.04425693616880882
0000-0003-0924-3247	genome	0.044040446687110525
0000-0003-0924-3247	effects	0.04203782898564534
0000-0003-0924-3247	sequencing	0.04174874416039012
0000-0003-0924-3247	children	0.04172047702616109
0000-0003-0924-3247	diabetes	0.04060971126742581
0000-0003-0924-3247	snp	0.040314546748551394
0000-0003-0924-3247	analyses	0.040139871015180593
0000-0003-0924-3247	regions	0.04005308446085433
0000-0003-0924-3247	multiple	0.03989351032766583
0000-0003-0924-3247	independent	0.03975580609246266
0000-0003-0924-3247	human	0.039715290881183106
0000-0003-0924-3247	randomization	0.03964890915604012
0000-0003-0924-3247	deletions	0.03949300340130663
0000-0003-0924-3247	smoking	0.03942822390280154
0000-0003-0924-3247	ldlc	0.039285830598993376
0000-0003-0924-3247	single	0.03923288670411695
0000-0003-0924-3247	mutations	0.039114681045303336
0000-0003-0924-3247	prenatal	0.03909152434333029
0000-0003-0924-3247	bp	0.0390787875504566
0000-0003-0924-3247	population	0.03907013021531608
0000-0003-0924-3247	score	0.03876285409564489
0000-0003-0924-3247	adiposity	0.03875159804469264
0000-0003-0924-3247	t2d	0.03834486696493316
0000-0003-0924-3247	type	0.038298036839505285
0000-0003-0924-3247	known	0.03732517020966627
0000-0003-0924-3247	copy number	0.03730920321692748
0000-0003-0924-3247	genotyping	0.03723453291323551
0000-0003-0924-3247	approach	0.03723399905627488
0000-0003-0924-3247	effect	0.0370325870967919
0000-0003-0924-3247	type diabetes	0.03678052052021026
0000-0003-0924-3247	copy	0.036531772266709374
0000-0003-0924-3247	klk3	0.03622726451478327
0000-0003-0924-3247	trait	0.03602952121651856
0000-0003-0924-3247	adhd	0.03601701433616438
0000-0003-0924-3247	factor	0.03595866774101074
0000-0003-0924-3247	polymorphisms	0.03595064814559232
0000-0003-0924-3247	potential	0.03557848255361427
0000-0003-0924-3247	single nucleotide	0.035449913267405556
0000-0003-0924-3247	functional	0.03517656354828404
0000-0003-0924-3247	results	0.03502533029960948
0000-0003-0924-3247	european	0.03483962761898489
0000-0003-0924-3247	candidate	0.034479349758986436
0000-0003-0924-3247	gwas	0.0344623110948273
0000-0003-0924-3247	cancer	0.03419443742371357
0000-0003-0924-3247	pressure	0.034051162217385016
0000-0003-0924-3247	used	0.03398740877844826
0000-0003-0924-3247	identify	0.03382132599018671
0000-0003-0924-3247	ancestry	0.03373412269470104
0000-0003-0924-3247	humancvd	0.033416496975551505
0000-0001-7328-4233	mammary	0.14478557680011514
0000-0001-7328-4233	motu	0.115952691382628
0000-0001-7328-4233	nematode	0.11490583974836714
0000-0001-7328-4233	crpc	0.10591970327860221
0000-0001-7328-4233	ccr5	0.10591970327860221
0000-0001-7328-4233	cell	0.09196453374423721
0000-0001-7328-4233	mammary stem	0.09078831709594476
0000-0001-7328-4233	cancer	0.08591418213401614
0000-0001-7328-4233	genome	0.0782391201347238
0000-0001-7328-4233	id4	0.0756569309132873
0000-0001-7328-4233	blbc	0.0756569309132873
0000-0001-7328-4233	taxane	0.07247043211414249
0000-0001-7328-4233	mirna	0.07178647670980205
0000-0001-7328-4233	stem	0.07010314799893658
0000-0001-7328-4233	species	0.06795786209640295
0000-0001-7328-4233	mimics	0.06659918352865947
0000-0001-7328-4233	diversity	0.06659559600535424
0000-0001-7328-4233	micrornas	0.06590029735704275
0000-0001-7328-4233	genes	0.06112254452032111
0000-0001-7328-4233	mammary stem cell	0.06052554473062984
0000-0001-7328-4233	anynana	0.06052554473062984
0000-0001-7328-4233	breast	0.0592548355328454
0000-0001-7328-4233	mouth ulcers	0.0561676601890171
0000-0001-7328-4233	ld score regression	0.0561676601890171
0000-0001-7328-4233	score regression	0.054764734720796626
0000-0001-7328-4233	ld score	0.054764734720796626
0000-0001-7328-4233	data	0.05423626976964734
0000-0001-7328-4233	database	0.0532573417566186
0000-0001-7328-4233	draft	0.052649300654587325
0000-0001-7328-4233	nematodes	0.051809775647404376
0000-0001-7328-4233	transcripts	0.05068100940607879
0000-0001-7328-4233	ulcers	0.05040685017918389
0000-0001-7328-4233	mouth	0.04926057660808851
0000-0001-7328-4233	annotated	0.047070738141941244
0000-0001-7328-4233	microrna	0.04604896563757115
0000-0001-7328-4233	heritability	0.04600728176149883
0000-0001-7328-4233	ld	0.04574221707365871
0000-0001-7328-4233	superbus	0.04539415854797238
0000-0001-7328-4233	nembase4	0.04539415854797238
0000-0001-7328-4233	microrna mimics	0.04539415854797238
0000-0001-7328-4233	mastodon	0.04539415854797238
0000-0001-7328-4233	ccl5	0.04539415854797238
0000-0001-7328-4233	bicyclus anynana	0.04539415854797238
0000-0001-7328-4233	bicyclus	0.04539415854797238
0000-0001-7328-4233	sequence	0.04506744001435003
0000-0001-7328-4233	rex	0.043482259268485486
0000-0001-7328-4233	draft genome	0.043482259268485486
0000-0001-7328-4233	desiccation	0.043482259268485486
0000-0001-7328-4233	stem cell	0.042181232979915724
0000-0001-7328-4233	angiogenesis	0.0420135670859026
0000-0001-7328-4233	sequences	0.041726340058511675
0000-0001-7328-4233	cellular	0.041506141636408006
