pure_org_id	org_name
c2d13eb3-0524-4255-8069-a8b89a813939	Gender And Violence Research
96faa7d8-30d0-4d92-b19d-a8aac9545e50	Number Theory And Combinatorics
79431fd4-8aa6-4e70-b5a6-54208087358b	Qet Labs
36b467b9-f473-47a9-8911-82a8b9d5235c	School Of Physics
53853989-55cf-4183-ac4c-03d0faa5c97a	Fundamental Bioscience
c514f3c3-8fcf-4ab5-bcc1-e1a502e3e1e6	Centre For Research In Health And Social Care
e2e31da6-2fe7-47e9-9511-c19fe258d522	The Bristol Research Initiative For The Dynamic Global Environment Bridge
037b7e1b-fa35-49fa-9eff-64a151e5f2e0	Institute Of Clinical Neurosciences Icn
46c454ff-2272-4182-bfd1-bd3e0da9806c	Animal Welfare And Behaviour
0d51be15-c9e1-4551-831f-8f46b597f894	Department Of Economics
839afdcb-f18c-4823-9480-0f35eb803064	The Bristol Centre For Nanoscience And Quantum Information
f2646ac2-f28b-41e3-bc37-52b165813a9c	Dementia Research Groups
5f73b603-c1ab-4ab8-aec3-30c80b5025d5	Centre For The Study Of Ethnicity And Citizenship
db36be38-a5ea-4192-9259-26ad41f6230e	School Of Computer Science Electrical And Electronic Engineering And Engineering Maths
4f19de17-4071-496d-8985-7ad485596405	Personal Finance Research Centre Pfrc
8deb72a7-5249-499b-be06-4697459cd30c	Department Of Theatre
29b44326-7593-412b-9168-3f3c74734add	School Of Cellular And Molecular Medicine
72de7626-ed21-4548-af8b-780605afb389	Centre For Family Policy And Child Welfare
84ad0d76-574f-494f-9462-d59f03e9058d	Analysis
656c6edb-f521-4b6a-9eeb-38192242dffd	School Of Geographical Sciences
ea820bdd-8d8e-4a8c-b23c-cc69c0344452	Theory And Algorithms
159ebf1f-4fa2-41a0-a46d-a87abe6b83a8	Soft Matter Colloids And Materials
eb970b11-fa07-4111-833a-e620929d60a9	School Of Humanities
576c33c1-3f14-4788-9f10-15c32e9cb085	Historical And Cultural Research Group
81b31b1e-ccaf-425c-a456-c01ee50673e2	Cancer
a4f12a0b-d74b-43ab-b468-54138dd383b1	School Of Physiology Pharmacology  Neuroscience
40265b54-ea4d-4940-8163-ea7d3f128a2a	Sociolegal Research
587580ed-11e0-45cb-82e1-f546866e9f71	Ophthalmology
1a01d9b4-d9c6-4b3d-bffb-a08f94162462	Centre For Assessment And Evaluation Research In Education
9880f71f-8bf0-4365-850e-4c012a4c0590	Nihr Clahrc West
dbe80fa2-daae-498b-b9ca-04ffe4920f5f	Centre For Applied Anatomy
132c339e-5928-40e4-9e48-d3773e3b8121	Animal Behaviour And Sensory Biology
de949949-2cb2-430b-883c-30103d8f86eb	School Of Chemistry
3314c7d5-acea-46a2-bfa0-40b1d439f8b5	Centre For Buddhist Studies
08529a4c-fa35-4b38-bb78-c249d8f12965	Petrology Formerly Beest
