pure_person_id	orcid_id
4ec18a96-fd2e-4311-a6fa-7ec65696a4e9	0000-0003-3108-5775
7a04c325-7a39-4560-8308-8cbcaa763747	0000-0002-6772-7111
b4014828-88e9-4861-ae1d-5c369b6ae35a	0000-0001-7328-4233
ccedc4d6-6d7e-4a60-8313-f59409ecc6dd	0000-0001-6224-3073
66e3df0f-6cbe-4cf4-a034-9e1b57684f6b	0000-0003-0300-4990
b3e60a3e-e0a9-44af-983f-0a29ebb73d2a	0000-0001-7382-2855
313960a2-a608-4aa4-a462-4a5c52ceeacf	0000-0003-2864-3465
92375264-fe44-4e4b-9d25-b0d3c79deabe	0000-0003-2881-4180
8dce79ea-8d4e-4432-8b0d-9b24ae076691	0000-0003-3761-296X
6d68b3ef-35d3-4f56-b46a-0d280bff67bc	0000-0002-9142-1673
770a529a-23f2-4d05-8c43-342658934ef4	0000-0002-9740-871X
32c18c2c-af64-40d7-86ee-4d4cc6c59764	0000-0003-0345-0456
b732d294-9c72-4077-a6ac-0207bf9635c8	0000-0003-2479-3167
a6d8796d-4ecf-43a9-bba8-66a8595d3bc9	0000-0002-8923-7180
7656be0e-df8b-441c-adca-9ff69e9c9b85	0000-0002-5804-7704
09d17dde-702b-4bd2-aeed-a6e34cacd5f9	0000-0003-3370-6459
da48efac-9423-4791-8f20-e87ec201c0ed	0000-0003-3353-2882
49e7a2b8-ceca-4f98-a65b-fe60b91fed01	0000-0001-7765-0616
ef74e89f-c0fa-4cbc-9765-1ee3659df83d	0000-0002-1753-3730
593359b6-d9ca-430e-86dd-e20a792dbf5b	0000-0001-6125-7326
7562d2ac-d475-42de-9f8b-23ce871d0711	0000-0003-2955-9599
a032c769-58bc-40bc-afc5-b22e72fd2ae0	0000-0002-4459-9057
ec5634f3-1c28-4440-8dda-3f8ae43c3dd6	0000-0001-6467-2023
b701ac5d-03a3-4f43-ba6f-e0095a8eb45d	0000-0001-8631-6409
c5ad1987-8151-40fe-bc06-bd6efd8a9cac	0000-0002-1040-7635
a000967c-e1a0-4b95-a2e9-c781345a2db1	0000-0003-3418-8112
52bf5df3-55bc-4226-8ce9-f94a63711d9e	0000-0001-5275-2691
a3e0a405-8096-424d-a966-e082d3dfcf67	0000-0001-8496-6053
b4bd91e6-dd27-4578-8790-8d602d7b1913	0000-0002-9942-0691
20167d3b-552c-43d7-98de-c095fca0cef1	0000-0003-0873-3906
dba6ca67-0455-4085-bc9d-c1f5bf49ad6f	0000-0002-1334-4481
891d5f60-f053-4631-b03c-b81f4d8f804b	0000-0002-6439-4171
9ffd9ff9-0949-49c4-97f7-bae51aa23d51	0000-0002-5984-4932
3aa0c33d-a96e-49f3-9932-490c3e58910c	0000-0001-8916-691X
1c38a3b9-29c8-4ff4-89d6-325ba0e8f1a5	0000-0002-8922-2499
988c3ebf-bd8d-42d8-8429-c0d6787ef566	0000-0002-5414-9391
0396b6da-d39d-41eb-9040-056c9063e121	0000-0003-3185-1599
1e87c677-21dd-446b-9625-88a40730d57c	0000-0002-5882-3275
ade0ab9d-58b0-4b25-833a-73e8d4633d42	0000-0002-4965-6823
5a286dc8-a186-4cfe-8b99-3f11fb05c5d5	0000-0002-1118-3282
be250ea4-2503-414a-beef-51c65d75819e	0000-0002-6471-0429
791e9015-12fd-40c6-921c-e32f773e5aaf	0000-0001-5131-1851
73aaef82-ced6-45b1-81b7-9c596adfef44	0000-0002-0136-432X
e46172ec-3986-458d-8cdb-129d82ea6651	0000-0002-8926-4680
f32873f8-bbfb-4aa8-8fa9-6a95214b2822	0000-0001-7772-3686
d9a1fd2b-b8c0-4ad1-a7ec-ddcd1bec0e2b	0000-0003-2555-9858
a27cb3ab-0301-456a-abe0-d8086f0f34db	0000-0002-1099-9319
98e1e32b-43e5-4b93-9133-20be1e7d1733	0000-0001-5232-4224
a695f050-4a4e-478e-a64f-7777334104ad	0000-0002-3024-6365
fc501654-614b-4168-bf49-96776785beae	0000-0002-9848-1409
940480df-c468-4e85-b0ba-1473e6b9f540	0000-0002-2618-750X
0b4404c0-f395-4b08-98f4-fa69c45de450	0000-0002-8193-9559
cb50e4dc-8bb5-44be-9004-1aadd022928c	0000-0001-8944-6532
4b1ea4e3-6226-4033-af5a-0b6c2dfad7ff	0000-0002-5555-433X
07d8a1c7-c6bd-482e-93d7-7f9cf6ba172d	0000-0002-2497-1026
9d539524-f8e5-4ce7-80a6-e515ed5c7b4b	0000-0002-0687-0715
9e4f5e79-dd99-4f1b-a53d-1a2832ff75ff	0000-0003-4948-5670
249cde17-f389-44c0-85dd-524c1536aa35	0000-0002-5883-9605
d0674ba9-61aa-4f8f-96db-f2fb8f6aaa17	0000-0002-0912-0303
0be73da7-8022-4929-b304-b84aefc38d1d	0000-0002-7389-7272
00014db1-03cd-45d2-ab7a-1e0e44e3b7e9	0000-0003-2323-1082
772c6cd7-2562-46b3-b55a-66e813d2e3ee	0000-0001-7206-3674
5789026d-3888-42e0-8a96-bb35ef8aa0ea	0000-0003-3117-679X
64b708e0-8a2e-4310-b3ae-8283bad78a51	0000-0002-5639-0955
ed092c35-a345-4ad1-9eb0-4e7da1d1a3cf	0000-0002-9997-6059
1a3995e6-6b81-4a62-8245-e5e36078db4d	0000-0003-3234-1136
0b8c04c7-aeb7-483d-8d55-31a32a1df1d6	0000-0003-3072-7043
4955c775-a9aa-45d3-9708-1a587e165932	0000-0002-4613-5643
596119e1-016c-447d-9935-c91ac64fb1b0	0000-0001-6357-806X
6bfc4c97-fe91-48a0-9061-173afa675de6	0000-0002-7597-4497
61e41e87-435c-46fb-a571-425ecee6ad7e	0000-0002-9774-0130
fbe447ca-f536-45a0-957e-cc9fe2ea741e	0000-0003-3070-1070
2399cd4d-b514-405d-986c-5d0d72d390f0	0000-0001-5990-9161
270856c5-13dd-488d-b832-662011af2b13	0000-0002-3510-4155
